Name,Royal Sovereign,Royal Anne,London,Royal George,Royal William,Resolution,York,Reserve,Ramillies,Chichester,Prince,Blenheim,Princess Royal,Sandwich,Barfleur,Dorsetshire,Shrewsbury,Cambridge,Torbay,Montague,Milford,Enterprise,Prince George,Union,Namur,Neptune,Marlborough,Lancaster,Princess Amelia,Cornwall,Norfolk,Princess Caroline,Russell,Burford,Lenox,Ipswich,Prince of Orange,Plymouth,Deptford,Warwick,Pembroke,Dunkirk,Chatham,Argyll,Romney,Oxford,Falmouth,Centurion,Rippon,Duke,St George,Boyne,Cumberland,Elizabeth,Suffolk,Essex,Nassau,Prince Frederick,Bedford,Royal Oak,Stirling Castle,Monmouth,Revenge,Captain,Berwick,Strafford,Worcester,Augusta,Dragon,Jersey,Superb,Lion,Kingston,Rupert,Dreadnought,Medway,Princess Mary,Exeter,Nottingham,Guernsey,Hampshire,Leopard,Nonsuch,Sutherland,Antelope,Dartmouth,Woolwich,Preston,Newark,Devonshire,Culloden,Northumberland,Edinburgh,Hampton Court,Kent,Princess Louisa,Defiance,Canterbury,Sunderland,Tilbury,Eagle,Windsor,Chester,Harwich,Winchester,Maidstone,Portland,Falkland,Salisbury,Advice,Gloucester,Norwich,Ruby,Colchester,Lichfield,Panther,St Albans,Anson,Tiger,Assistance,Greenwich,Tavistock,Princess,Vigilant,Portland's Prize,Mars,Adventure,Aldborough,Alderney,Bideford,Bridgewater,Centaur,Dolphin,Dover,Diamond,Experiment,Flamborough,Fox,Folkestone,Garland,Gibraltar,Greyhound,Glasgow,Gosport,Hastings,Lively,Lowestoffe,Liverpool,Mercury,Port Mahon,Phoenix,Queenborough,Rose,Rye,Shoreham,Seahorse,Squirrel,Scarborough,Success,Solebay,Siren,Sheerness,Surprise,Sapphire,Triton,Winchelsea,Wager,Tonnant,Sceptre,Bourbon,Saint Philippe,Duc d'Orléans,Phénix,Espérance,Ferme,Neptune,Juste,Saint Esprit,Superbe,Dauphin-Royal,Terrible,Invincible,Magnanime,Conquérant,Monarque,Intrépide,Sceptre,Ardent,Fleuron,Borée,Mars,Sérieux,Saint Michel,Alcide,Trident,Lys,Fougueux,Triton,Achille,Content,Jason,Tigre,Brillant,Alcyon,Rubis,Diamant,Apollon,Auguste,Caribou,Oriflamme,Etoile,Arc-en-Ciel,Fier,Vigilant,Argonaute,Parfaite,Néreïde,Gloire,Aquilon,Aurore,Junon,Thétis,Amazone,Vénus,Galathée,Mutine,Zéphyr,Flore,Emeraude,Sirène,Renommée,Mégère,Favorite,Friponne
Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guns,100,100,100,100,100,70,60,50,90,80,90,90,90,90,90,80,80,80,80,60,44,44,90,90,74,90,90,80,80,80,80,80,80,70,70,70,70,60,60,60,60,60,50,50,50,50,50,50,60,90,90,80,60,70,70,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,80,74,74,66,66,66,64,58,58,58,58,58,58,58,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,50,50,50,70,58,50,64,50,24,24,24,24,24,20,44,40,24,20,24,44,32,20,20,24,44,44,20,24,44,24,24,24,24,24,24,24,20,24,24,24,20,24,24,24,44,24,24,24,80,74,74,74,74,74,74,74,86,74,74,74,74,74,74,74,74,74,74,74,64,64,64,64,64,64,64,64,64,64,64,64,60,50,50,50,50,50,50,50,50,50,50,50,50,60,64,45,45,45,45,45,45,45,44,40,26,32,24,28,26,28,30,30,30,38,24
Year,1701,1703,1706,1715,1719,1705,1706,1704,1702,1706,1698,1709,1711,1712,1716,1712,1713,1715,1719,1716,1712,1718,1723,1726,1729,1730,1732,1722,1723,1726,1728,1731,1735,1722,1723,1730,1734,1722,1732,1733,1733,1734,1721,1722,1726,1727,1729,1732,1735,1739,1740,1739,1739,1737,1739,1740,1740,1740,1741,1741,1742,1742,1742,1743,1743,1735,1735,1736,1736,1736,1736,1738,1740,1740,1742,1740,1742,1744,1745,1740,1741,1741,1741,1741,1742,1741,1741,1742,1747,1745,1747,1743,1744,1744,1746,1744,1744,1744,1745,1745,1745,1745,1743,1743,1744,1744,1744,1744,1745,1745,1745,1745,1745,1746,1746,1746,1747,1747,1747,1747,1747,1747,1740,1745,1746,1746,1741,1743,1743,1740,1744,1746,1731,1740,1741,1740,1727,1746,1741,1724,1727,1741,1745,1741,1741,1740,1742,1741,1745,1740,1743,1747,1740,1745,1744,1727,1727,1740,1740,1742,1745,1743,1746,1741,1745,1740,1744,1743,1720,1720,1722,1722,1723,1723,1723,1723,1725,1726,1738,1738,1739,1744,1744,1746,1747,1747,1747,1723,1730,1734,1740,1740,1741,1743,1742,1746,1747,1747,1747,1717,1724,1724,1724,1726,1728,1733,1740,1741,1744,1744,1745,1745,1745,1745,1722,1723,1724,1727,1733,1745,1747,1697,1707,1723,1744,1744,1728,1728,1744,1744,1744,1744,1747,1747
